Date,Weight
11/17/2019,116.9
11/18/2019,115.5
11/19/2019,115.4
11/20/2019,115.6
11/21/2019,115.3
12/29/2019,113.3
12/30/2019,112.9
1/2/2020,115.2
1/8/2020,113.4
1/9/2020,113.2
1/10/2020,112.8
1/11/2020,112
1/12/2020,111.8
1/13/2020,111.6
1/14/2020,111.5
1/15/2020,112.3
1/16/2020,111.6
1/17/2020,111.8
1/18/2020,111
1/19/2020,111.3
1/21/2020,111.1
1/22/2020,111.2
1/23/2020,111.6
1/24/2020,112.4
1/25/2020,111.6
1/27/2020,111.4
1/28/2020,110.8
1/29/2020,110.4
1/30/2020,109.6
1/31/2020,109.1
2/1/2020,108.6
2/2/2020,108.5
2/3/2020,108.6
2/4/2020,108.4
2/5/2020,107.9
2/6/2020,108
2/9/2020,108.6
2/10/2020,107.9
2/11/2020,107.3
2/12/2020,107.8
2/13/2020,107.8
2/14/2020,107
2/15/2020,106.5
2/16/2020,106.5
2/17/2020,105.7
2/18/2020,106.8
2/19/2020,106
2/20/2020,106.6
2/21/2020,107.7
2/22/2020,106.5
2/23/2020,106.1
2/24/2020,105.1
2/25/2020,105
2/26/2020,105
2/27/2020,104.9
2/28/2020,106.1
2/29/2020,106.7
3/2/2020,106.7
3/3/2020,105.7
3/4/2020,105.1
3/5/2020,104.3
3/6/2020,104.2
3/7/2020,103.9
3/8/2020,102.9
3/9/2020,102.4
3/10/2020,102.9
3/11/2020,102.6
3/12/2020,102.7
3/13/2020,102.3
3/14/2020,102
3/15/2020,100.8
3/16/2020,101.5
3/17/2020,101.1
3/18/2020,100.4
3/20/2020,99.7
3/21/2020,99.6
3/22/2020,99.4
3/23/2020,99.2
3/24/2020,98.5
3/25/2020,98.5
3/26/2020,98.3
3/27/2020,98.3
3/28/2020,97.8
3/29/2020,97.9
3/30/2020,97.5
3/31/2020,97.2
4/1/2020,97
4/2/2020,96.8
4/3/2020,96.6
4/4/2020,96.2
4/5/2020,96.2
4/6/2020,96.1
4/7/2020,95.1
4/8/2020,94.9
4/9/2020,95
4/10/2020,94.7
4/11/2020,95.2
4/12/2020,94.7
4/13/2020,94.6
4/14/2020,94.7
4/15/2020,94.1
4/16/2020,93.9
4/17/2020,93.1
4/18/2020,93
4/19/2020,93
4/20/2020,92.9
4/21/2020,93
4/22/2020,92.7
4/23/2020,92.8
4/24/2020,92.4
4/25/2020,92
4/26/2020,91
4/27/2020,91.1
4/28/2020,91.6
4/29/2020,91.5
4/30/2020,91.1
5/1/2020,90.1
5/2/2020,90.5
5/3/2020,90.8
5/4/2020,90.7
5/5/2020,90.4
5/6/2020,90.7
5/7/2020,90.3
5/8/2020,90.2
5/9/2020,90.7
5/10/2020,90
5/11/2020,89.8
5/12/2020,89.3
5/13/2020,89.2
5/14/2020,89.2
5/15/2020,89.5
5/16/2020,88.9
5/17/2020,87.9
5/18/2020,87.6
5/19/2020,88.5
5/20/2020,88.7
5/21/2020,88.6
5/22/2020,88.7
5/23/2020,88.7
5/24/2020,88.8
5/25/2020,89.4
5/26/2020,88.9
5/27/2020,88.3
5/28/2020,88.5
5/29/2020,87.9
5/30/2020,87.4
5/31/2020,86.9
6/1/2020,86.4
6/2/2020,86.9
6/3/2020,87.4
6/4/2020,86.7
6/5/2020,87.05
6/6/2020,86.7
6/7/2020,86.2
6/8/2020,86.1
6/9/2020,85.9
6/10/2020,85.85
6/11/2020,85.45
6/12/2020,85.4
6/13/2020,85.2
6/14/2020,85
6/15/2020,84.7
6/16/2020,84.8
6/17/2020,84.2
6/18/2020,84.6
6/19/2020,85.1
6/20/2020,84.6
6/21/2020,84.55
6/22/2020,84.4
6/23/2020,83.9
6/24/2020,83.6
6/25/2020,84.65
6/26/2020,84.35
6/27/2020,84.45
6/29/2020,83.85
6/30/2020,84
7/1/2020,83.65
7/2/2020,83.85
7/3/2020,83.35
7/4/2020,83.55
7/5/2020,84.15
7/6/2020,84.5
7/7/2020,83.4
7/8/2020,83.8
7/9/2020,83.85
7/10/2020,83.5
7/11/2020,83.2
7/12/2020,82.95
7/13/2020,83.35
7/14/2020,82.9
7/15/2020,83
7/16/2020,83.35
7/17/2020,84.3
7/20/2020,83.7
7/21/2020,83.5
7/22/2020,83.15
7/23/2020,83.1
7/24/2020,82.45
7/25/2020,82.3
7/26/2020,82.65
7/27/2020,81.85
7/28/2020,82.35
7/29/2020,82.55
7/30/2020,82.6
7/31/2020,82.3
8/1/2020,80.9
8/2/2020,81.1
8/3/2020,81.4
8/4/2020,81.3
8/5/2020,80.25
8/6/2020,80.4
8/7/2020,80.15
8/8/2020,80.25
8/9/2020,80.25
8/10/2020,79.8
8/11/2020,80.1
8/12/2020,79.95
8/13/2020,79.65
8/14/2020,80
8/15/2020,80.05
8/16/2020,80.3
8/17/2020,79.75
8/18/2020,79.85
8/19/2020,80
8/20/2020,79.55
8/21/2020,79.25
8/22/2020,79.05
8/23/2020,78.15
8/24/2020,78
8/25/2020,78.2
8/26/2020,78.6
8/27/2020,78
8/28/2020,77.85
8/29/2020,78.1
8/30/2020,77.9
8/31/2020,77.15
9/1/2020,77.35
9/2/2020,77.1
9/3/2020,78.1
9/4/2020,78
9/5/2020,77.15
9/6/2020,77.4
9/7/2020,76.7
9/8/2020,77.55
9/9/2020,77.3
9/10/2020,77.2
9/11/2020,76.2
9/12/2020,75.65
9/13/2020,76.35
9/14/2020,76.2
9/15/2020,76.35
9/16/2020,76.3
9/17/2020,75.85
9/18/2020,75.1
9/19/2020,75.25
9/20/2020,76.1
9/21/2020,76.5
9/22/2020,75.8
9/23/2020,75.65
9/24/2020,74.55
9/25/2020,74.9
9/26/2020,74.6
9/27/2020,74.8
9/28/2020,74.65
9/29/2020,74.6
9/30/2020,75.25
10/2/2020,75.15
10/3/2020,74.55
10/4/2020,74.55
10/5/2020,74.95
10/6/2020,74.4
10/7/2020,74.05
10/8/2020,73.9
10/9/2020,73.9
10/10/2020,73.85
10/11/2020,74.4
10/12/2020,75.15
10/13/2020,74.7
10/14/2020,75.6
10/15/2020,75.15
10/16/2020,74.85
10/17/2020,74.60
10/18/2020,73.85
10/19/2020,72.60
